gene_identifier	macM	macF	mouse	pig	human
gene_407	ERICH1	ERICH1	Erich1	ERICH1	ERICH1
gene_408	PHF20	PHF20	Phf20	PHF20	PHF20
gene_409	VPS37A	VPS37A	Vps37a	VPS37A	VPS37A
gene_410	CCDC171	CCDC171	Ccdc171	CCDC171	CCDC171
gene_411	ITIH5	ITIH5	Itih5	ITIH5	ITIH5
gene_412	SIX1	SIX1	Six1	SIX1	SIX1
gene_413	F7	F7	F7	F7	F7
gene_414	PPP2R5E	PPP2R5E	Ppp2r5e	PPP2R5E	PPP2R5E
gene_415	STC1	STC1	Stc1	STC1	STC1
gene_416	UHRF2	UHRF2	Uhrf2	UHRF2	UHRF2
gene_417	TRIM35	TRIM35	Trim35	TRIM35	TRIM35
gene_418	RASL11A	RASL11A	Rasl11a	RASL11A	RASL11A
gene_419	MAK16	MAK16	Mak16	MAK16	MAK16
gene_420	GGT7	GGT7	Ggt7	GGT7	GGT7
gene_421	LCP1	LCP1	Lcp1	LCP1	LCP1
gene_422	LPL	LPL	Lpl	LPL	LPL
gene_423	MRC1	MRC1	Mrc1	MRC1	MRC1
gene_424	SH3GL2	SH3GL2	Sh3gl2	SH3GL2	SH3GL2
gene_425	HMBOX1	HMBOX1	Hmbox1	HMBOX1	HMBOX1
gene_426	SIAH3	SIAH3	Siah3	SIAH3	SIAH3
gene_427	LURAP1L	LURAP1L	Lurap1l	LURAP1L	LURAP1L
gene_428	PKNOX1	PKNOX1	Pknox1	PKNOX1	PKNOX1
gene_429	SNORD110	SNORD110	Snord110	SNORD110	SNORD110
gene_430	SNORA51	SNORA51	Gm24451	SNORA51	SNORA51
gene_431	SNORD86	SNORD86	Gm23187	SNORD86	SNORD86
gene_432	ARL5B	ARL5B	Arl5b	ARL5B	ARL5B
gene_433	NALCN	NALCN	Nalcn	NALCN	NALCN
gene_434	U6	U6	Gm22583	U6	RNU6-1257P
gene_435	IFT27	IFT27	Ift27	IFT27	IFT27
gene_436	RNF38	RNF38	Rnf38	RNF38	RNF38
gene_437	CUBN	CUBN	Cubn	CUBN	CUBN
gene_438	mml-mir-1-1	MIR1-1	Mir1a-1	ssc-mir-1	MIR1-1
gene_439	mml-mir-133c	MIR133A2	Mir133a-2	ssc-mir-133a-1	MIR133A2
gene_440	L3HYPDH	L3HYPDH	L3hypdh	L3HYPDH	L3HYPDH
gene_441	RBPJL	RBPJL	Rbpjl	RBPJL	RBPJL
gene_442	C7H14orf39	C14orf39	4930447C04Rik	C14orf39	C14orf39
gene_443	CMBL	CMBL	Cmbl	CMBL	CMBL
gene_444	PDGFB	PDGFB	Pdgfb	PDGFB	PDGFB
gene_445	SLC18A1	SLC18A1	Slc18a1	SLC18A1	SLC18A1
gene_446	UPRT	UPRT	Uprt	UPRT	UPRT
gene_447	MTRR	MTRR	Mtrr	MTRR	MTRR
gene_448	SIX6	SIX6	Six6	SIX6	SIX6
gene_449	TRDMT1	TRDMT1	Trdmt1	TRDMT1	TRDMT1
gene_450	SIX4	SIX4	Six4	SIX4	SIX4
gene_451	GABRA5	GABRA5	Gabra5	GABRA5	GABRA5
gene_452	TP53TG5	TP53TG5	Trp53tg5	TP53TG5	TP53TG5
gene_453	NFX1	NFX1	Nfx1	NFX1	NFX1
gene_454	CCDC117	CCDC117	Ccdc117	CCDC117	CCDC117
gene_455	STX16	STX16	Stx16	STX16	STX16
gene_456	GMDS	GMDS	Gmds	GMDS	GMDS
gene_457	HDX	HDX	Hdx	HDX	HDX
gene_458	PPM1A	PPM1A	Ppm1a	PPM1A	PPM1A
gene_459	POGLUT2	POGLUT2	Poglut2	POGLUT2	POGLUT2
gene_460	PARVG	PARVG	Parvg	PARVG	PARVG
gene_461	CCDC175	CCDC175	Ccdc175	CCDC175	CCDC175
gene_462	SLC10A1	SLC10A1	Slc10a1	SLC10A1	SLC10A1
gene_463	EXOC2	EXOC2	Exoc2	EXOC2	EXOC2
gene_464	ARL13A	ARL13A	Arl13a	ARL13A	ARL13A
gene_465	C1QL3	C1QL3	C1ql3	C1QL3	C1QL3
gene_466	C6H5orf49	C5orf49	1700001L19Rik	C5orf49	C5orf49
gene_467	MINDY3	MINDY3	Mindy3	MINDY3	MINDY3
gene_468	BRWD3	BRWD3	Brwd3	BRWD3	BRWD3
gene_469	NUP155	NUP155	Nup155	NUP155	NUP155
gene_470	GAS6	GAS6	Gas6	GAS6	GAS6
gene_471	ARMC3	ARMC3	Armc3	ARMC3	ARMC3
gene_472	PCNX1	PCNX1	Pcnx	PCNX1	PCNX1
gene_473	EDA	EDA	Eda	EDA	EDA
gene_474	TTLL1	TTLL1	Ttll1	TTLL1	TTLL1
gene_475	CRYAA	CRYAA	Cryaa	CRYAA	CRYAA
gene_476	UNC5D	UNC5D	Unc5d	UNC5D	UNC5D
gene_477	CHM	CHM	Chm	CHM	CHM
gene_478	NUDT15	NUDT15	Nudt15	NUDT15	NUDT15
gene_479	MED4	MED4	Med4	MED4	MED4
gene_480	NPEPL1	NPEPL1	Npepl1	NPEPL1	NPEPL1
gene_481	PIN4	PIN4	Pin4	PIN4	PIN4
gene_482	RB1	RB1	Rb1	RB1	RB1
gene_483	RIBC2	RIBC2	Ribc2	RIBC2	RIBC2
gene_484	NSUN6	NSUN6	Nsun6	NSUN6	NSUN6
gene_485	NELFCD	NELFCD	Nelfcd	NELFCD	NELFCD
gene_486	RBM26	RBM26	Rbm26	RBM26	RBM26
gene_487	KLHL4	KLHL4	Klhl4	KLHL4	KLHL4
gene_488	ANKRD54	ANKRD54	Ankrd54	ANKRD54	ANKRD54
gene_489	MSR1	MSR1	Msr1	MSR1	MSR1
gene_490	SETD4	SETD4	Setd4	SETD4	SETD4
gene_491	PIP4K2A	PIP4K2A	Pip4k2a	PIP4K2A	PIP4K2A
gene_492	GPHB5	GPHB5	Gphb5	GPHB5	GPHB5
gene_493	FBXL7	FBXL7	Fbxl7	FBXL7	FBXL7
gene_494	DCLK1	DCLK1	Dclk1	DCLK1	DCLK1
gene_495	TMEM170B	TMEM170B	Tmem170b	TMEM170B	TMEM170B
gene_496	TSPO	TSPO	Tspo	TSPO	TSPO
gene_497	SPEF2	SPEF2	Spef2	SPEF2	SPEF2
gene_498	C7H14orf28	C14orf28	Gm527	C14orf28	C14orf28
gene_499	EFNB2	EFNB2	Efnb2	EFNB2	EFNB2
gene_500	NOX1	NOX1	Nox1	NOX1	NOX1
gene_501	DPYSL2	DPYSL2	Dpysl2	DPYSL2	DPYSL2
gene_502	DGKH	DGKH	Dgkh	DGKH	DGKH
gene_503	INPP5J	INPP5J	Inpp5j	INPP5J	INPP5J
gene_504	KDM1B	KDM1B	Kdm1b	KDM1B	KDM1B
gene_505	TUBB1	TUBB1	Tubb1	TUBB1	TUBB1
gene_506	MALRD1	MALRD1	Malrd1	MALRD1	MALRD1
gene_507	COLEC12	COLEC12	Colec12	COLEC12	COLEC12
gene_508	ABT1	ABT1	Abt1	ABT1	ABT1
gene_509	ST8SIA6	ST8SIA6	St8sia6	ST8SIA6	ST8SIA6
gene_510	TCEAL9	TCEAL9	Tceal9	TCEAL9	TCEAL9
gene_511	GDF5	GDF5	Gdf5	GDF5	GDF5
gene_512	BMP6	BMP6	Bmp6	BMP6	BMP6
gene_513	IMPA2	IMPA2	Impa2	IMPA2	IMPA2
gene_514	GAD2	GAD2	Gad2	GAD2	GAD2
gene_515	PBDC1	PBDC1	Pbdc1	PBDC1	PBDC1
gene_516	BLOC1S5	TXNDC5	Txndc5	TXNDC5	TXNDC5
gene_517	TBX22	TBX22	Tbx22	TBX22	TBX22
gene_518	RICTOR	RICTOR	Rictor	RICTOR	RICTOR
gene_519	ZNF322	ZNF322	Zfp322a	ZNF322	ZNF322
gene_520	DLGAP1	DLGAP1	Dlgap1	DLGAP1	DLGAP1
gene_521	DZIP1	DZIP1	Dzip1	DZIP1	DZIP1
gene_522	DUSP4	DUSP4	Dusp4	DUSP4	DUSP4
gene_523	FOXQ1	FOXQ1	Foxq1	FOXQ1	FOXQ1
gene_524	RNF182	RNF182	Rnf182	RNF182	RNF182
gene_525	MKX	MKX	Mkx	MKX	MKX
gene_526	ZFYVE19	ZFYVE19	Zfyve19	ZFYVE19	ZFYVE19
gene_527	ERI1	ERI1	Eri1	ERI1	ERI1
gene_528	RPP40	RPP40	Rpp40	RPP40	RPP40
gene_529	GDF2	GDF2	Gdf2	GDF2	GDF2
gene_530	TRMT2B	TRMT2B	Trmt2b	TRMT2B	TRMT2B
gene_531	MBOAT4	MBOAT4	Mboat4	MBOAT4	MBOAT4
gene_532	RHOJ	RHOJ	Rhoj	RHOJ	RHOJ
gene_533	EP300	EP300	Ep300	EP300	EP300
gene_534	DOCK5	DOCK5	Dock5	DOCK5	DOCK5
gene_535	ODAD2	ODAD2	Odad2	ODAD2	ODAD2
gene_536	KCNH5	KCNH5	Kcnh5	KCNH5	KCNH5
gene_537	XKRX	XKRX	Xkrx	XKRX	XKRX
gene_538	MAGEE2	MAGEE2	Magee2	MAGEE2	MAGEE2
gene_539	SUSD6	SUSD6	Susd6	SUSD6	SUSD6
gene_540	BMF	BMF	Bmf	BMF	BMF
gene_541	XK	XK	Xk	XK	XK
gene_542	ZNF770	ZNF770	Zfp770	ZNF770	ZNF770
gene_543	PLA2G3	PLA2G3	Pla2g3	PLA2G3	PLA2G3
gene_544	ITGA8	ITGA8	Itga8	ITGA8	ITGA8
gene_545	PATZ1	PATZ1	Patz1	PATZ1	PATZ1
gene_546	EGLN3	EGLN3	Egln3	EGLN3	EGLN3
gene_547	ADRA1A	ADRA1A	Adra1a	ADRA1A	ADRA1A
gene_548	STMND1	STMND1	Stmnd1	STMND1	STMND1
gene_549	GPR183	GPR183	Gpr183	GPR183	GPR183
gene_550	RAB31	RAB31	Rab31	RAB31	RAB31
gene_551	SLC25A30	SLC25A30	Slc25a30	SLC25A30	SLC25A30
gene_552	DUSP26	DUSP26	Dusp26	DUSP26	DUSP26
gene_553	XPNPEP3	XPNPEP3	Xpnpep3	XPNPEP3	XPNPEP3
gene_554	SPTSSA	SPTSSA	Sptssa	SPTSSA	SPTSSA
gene_555	NKX3-1	NKX3-1	Nkx3-1	NKX3-1	NKX3-1
gene_556	FITM2	FITM2	Fitm2	FITM2	FITM2
gene_557	ATP6V1B2	ATP6V1B2	Atp6v1b2	ATP6V1B2	ATP6V1B2
gene_558	FOS	FOS	Fos	FOS	FOS
gene_559	TTPAL	TTPAL	Ttpal	TTPAL	TTPAL
gene_560	THBS1	THBS1	Thbs1	THBS1	THBS1
gene_561	TPT1	TPT1	Tpt1	TPT1	TPT1
gene_562	PLEKHD1	PLEKHD1	Plekhd1	PLEKHD1	PLEKHD1
gene_563	ADAMTS1	ADAMTS1	Adamts1	ADAMTS1	ADAMTS1
gene_564	ZNRF3	ZNRF3	Znrf3	ZNRF3	ZNRF3
gene_565	SERINC3	SERINC3	Serinc3	SERINC3	SERINC3
gene_566	AQR	AQR	Aqr	AQR	AQR
gene_567	YES1	YES1	Yes1	YES1	YES1
gene_568	LTBP2	LTBP2	Ltbp2	LTBP2	LTBP2
gene_569	HIVEP1	HIVEP1	Hivep1	HIVEP1	HIVEP1
gene_570	KCTD9	KCTD9	Kctd9	KCTD9	KCTD9
gene_571	ZFR	ZFR	Zfr	ZFR	ZFR
gene_572	ZFAND4	ZFAND4	Zfand4	ZFAND4	ZFAND4
gene_573	ABHD13	ABHD13	Abhd13	ABHD13	ABHD13
gene_574	ESD	ESD	Esd	ESD	ESD
gene_575	PKIG	PKIG	Pkig	PKIG	PKIG
gene_576	MAPRE2	MAPRE2	Mapre2	MAPRE2	MAPRE2
gene_577	GFOD1	GFOD1	Gfod1	GFOD1	GFOD1
gene_578	RNF170	RNF170	Rnf170	RNF170	RNF170
gene_579	NRSN1	NRSN1	Nrsn1	NRSN1	NRSN1
gene_580	MIS18A	MIS18A	Mis18a	MIS18A	MIS18A
gene_581	HTR2A	HTR2A	Htr2a	HTR2A	HTR2A
gene_582	GJD2	GJD2	Gjd2	GJD2	GJD2
gene_583	TDRD3	TDRD3	Tdrd3	TDRD3	TDRD3
gene_584	JARID2	JARID2	Jarid2	JARID2	JARID2
gene_585	WDR4	WDR4	Wdr4	WDR4	WDR4
gene_586	OCA2	OCA2	Oca2	OCA2	OCA2
gene_587	LOXL2	LOXL2	Loxl2	LOXL2	LOXL2
gene_588	TLDC2	TLDC2	Tldc2	TLDC2	TLDC2
gene_589	ELOVL2	ELOVL2	Elovl2	ELOVL2	ELOVL2
gene_590	SPART	SPART	Spg20	SPART	SPART
gene_591	OSER1	OSER1	Oser1	OSER1	OSER1
gene_592	TRIM27	TRIM27	Trim27	TRIM27	TRIM27
gene_593	LZTS1	LZTS1	Lzts1	LZTS1	LZTS1
gene_594	SLC38A9	SLC38A9	Slc38a9	SLC38A9	SLC38A9
gene_595	ISCA2	ISCA2	Isca2	ISCA2	ISCA2
gene_596	CDCA2	CDCA2	Cdca2	CDCA2	CDCA2
gene_597	SRSF6	SRSF6	Srsf6	SRSF6	SRSF6
gene_598	JDP2	JDP2	Jdp2	JDP2	JDP2
gene_599	AWAT2	AWAT2	Awat2	AWAT2	AWAT2
gene_600	KLHL14	KLHL14	Klhl14	KLHL14	KLHL14
gene_601	IFT52	IFT52	Ift52	IFT52	IFT52
gene_602	EIF2AK4	EIF2AK4	Eif2ak4	EIF2AK4	EIF2AK4
gene_603	PSMD10	PSMD10	Psmd10	PSMD10	PSMD10
gene_604	MYBL2	MYBL2	Mybl2	MYBL2	MYBL2
gene_605	SPATA7	SPATA7	Spata7	SPATA7	SPATA7
gene_606	ZBED9	ZBED9	Zbed5	ZBED9	ZBED9
gene_607	SNORD83A	SNORD83A	SNORD83A	SNORD83A	SNORD83A
gene_608	SNORD83B	SNORD83B	Snord83b	SNORD83B	SNORD83B
gene_609	GABPA	GABPA	Gabpa	GABPA	GABPA
gene_610	EDN1	EDN1	Edn1	EDN1	EDN1
gene_611	ZDHHC2	ZDHHC2	Zdhhc2	ZDHHC2	ZDHHC2
gene_612	STK24	STK24	Stk24	STK24	STK24
gene_613	NRK	NRK	Nrk	NRK	NRK
gene_614	TRMT9B	TRMT9B	Trmt9b	TRMT9B	TRMT9B
gene_615	MSRB2	MSRB2	Msrb2	MSRB2	MSRB2
gene_616	RTCB	RTCB	Rtcb	RTCB	RTCB
gene_617	ELAVL2	ELAVL2	Elavl2	ELAVL2	ELAVL2
gene_618	GABRB3	GABRB3	Gabrb3	GABRB3	GABRB3
gene_619	MTMR7	MTMR7	Mtmr7	MTMR7	MTMR7
gene_620	SRXN1	SRXN1	Srxn1	SRXN1	SRXN1
gene_621	FUNDC1	FUNDC1	Fundc1	FUNDC1	FUNDC1
gene_622	CDH10	CDH10	Cdh10	CDH10	CDH10
gene_623	SSR1	SSR1	Ssr1	SSR1	SSR1
gene_624	RCBTB2	RCBTB2	Rcbtb2	RCBTB2	RCBTB2
gene_625	PTF1A	PTF1A	Ptf1a	PTF1A	PTF1A
gene_626	MPPE1	MPPE1	Mppe1	MPPE1	MPPE1
gene_627	OSBPL2	OSBPL2	Osbpl2	OSBPL2	OSBPL2
gene_628	CCNB3	CCNB3	Ccnb3	CCNB3	CCNB3
gene_629	PCMTD1	PCMTD1	Pcmtd1	PCMTD1	PCMTD1
gene_630	KCNE2	KCNE2	Kcne2	KCNE2	KCNE2
gene_631	GRHPR	GRHPR	Grhpr	GRHPR	GRHPR
gene_632	ASPHD2	ASPHD2	Asphd2	ASPHD2	ASPHD2
gene_633	POU3F4	POU3F4	Pou3f4	POU3F4	POU3F4
gene_634	SRRD	SRRD	Srrd	SRRD	SRRD
gene_635	GPX8	GPX8	Gpx8	GPX8	GPX8
gene_636	P2RY10	P2RY10	P2ry10	P2RY10	P2RY10
gene_637	PROSER2	PROSER2	Proser2	PROSER2	PROSER2
gene_638	BNIP3L	BNIP3L	Bnip3l	BNIP3L	BNIP3L
gene_639	TFIP11	TFIP11	Tfip11	TFIP11	TFIP11
gene_640	ISL1	ISL1	Isl1	ISL1	ISL1
gene_641	TOGARAM1	TOGARAM1	Togaram1	TOGARAM1	TOGARAM1
gene_642	FOXF2	FOXF2	Foxf2	FOXF2	FOXF2
gene_643	ALOX5AP	ALOX5AP	Alox5ap	ALOX5AP	ALOX5AP
gene_644	ENKUR	ENKUR	Enkur	ENKUR	ENKUR
gene_645	EFNB1	EFNB1	Efnb1	EFNB1	EFNB1
gene_646	ANKH	ANKH	Ank	ANKH	ANKH
gene_647	FGF14	FGF14	Fgf14	FGF14	FGF14
gene_648	CDKAL1	CDKAL1	Cdkal1	CDKAL1	CDKAL1
gene_649	TRPM6	TRPM6	Trpm6	TRPM6	TRPM6
gene_650	IFT88	IFT88	Ift88	IFT88	IFT88
gene_651	KIF13B	KIF13B	Kif13b	KIF13B	KIF13B
gene_652	DCDC2	DCDC2	Dcdc2a	DCDC2	DCDC2
gene_653	PPWD1	PPWD1	Ppwd1	PPWD1	PPWD1
gene_654	DNAJC1	DNAJC1	Dnajc1	DNAJC1	DNAJC1
gene_655	DLG3	DLG3	Dlg3	DLG3	DLG3
gene_656	ID4	ID4	Id4	ID4	ID4
gene_657	DPH6	DPH6	Dph6	DPH6	DPH6
gene_658	CATSPERB	CATSPERB	Catsperb	CATSPERB	CATSPERB
gene_659	CRYBB1	CRYBB1	Crybb1	CRYBB1	CRYBB1
gene_660	RUBCNL	RUBCNL	Rubcnl	RUBCNL	RUBCNL
gene_661	SYNJ1	SYNJ1	Synj1	SYNJ1	SYNJ1
gene_662	CRYBA4	CRYBA4	Cryba4	CRYBA4	CRYBA4
gene_663	C7H15orf62	C15orf62	Gm14137	C15orf62	C15orf62
gene_664	C1QTNF6	C1QTNF6	C1qtnf6	C1QTNF6	C1QTNF6
gene_665	SPRED1	SPRED1	Spred1	SPRED1	SPRED1
gene_666	PHYHIPL	PHYHIPL	Phyhipl	PHYHIPL	PHYHIPL
gene_667	AP5M1	AP5M1	Ap5m1	AP5M1	AP5M1
gene_668	TMTC4	TMTC4	Tmtc4	TMTC4	TMTC4
gene_669	TMPRSS6	TMPRSS6	Tmprss6	TMPRSS6	TMPRSS6
gene_670	FMN1	FMN1	Fmn1	FMN1	FMN1
gene_671	HOOK3	HOOK3	Hook3	HOOK3	HOOK3
gene_672	TMEM63C	TMEM63C	Tmem63c	TMEM63C	TMEM63C
gene_673	ASCC1	ASCC1	Ascc1	ASCC1	ASCC1
gene_674	ATPSCKMT	ATPSCKMT	Atpsckmt	ATPSCKMT	ATPSCKMT
gene_675	R3HDML	R3HDML	R3hdml	R3HDML	R3HDML
gene_676	RIMS4	RIMS4	Rims4	RIMS4	RIMS4
gene_677	RIMOC1	FBXO4	Fbxo4	FBXO4	FBXO4
gene_678	CELF4	CELF4	Celf4	CELF4	CELF4
gene_679	SGSM2	SGSM2	Sgsm2	SGSM2	SGSM2
gene_680	MIR124-3	MIR124-3	Mir124a-3	MIR124-3	MIR124-3
gene_681	YTHDF1	YTHDF1	Ythdf1	YTHDF1	YTHDF1
gene_682	CYLC1	CYLC1	Cylc1	CYLC1	CYLC1
gene_683	SLC35F4	SLC35F4	Slc35f4	SLC35F4	SLC35F4
gene_684	FSIP1	FSIP1	Fsip1	FSIP1	FSIP1
gene_685	NPR3	NPR3	Npr3	NPR3	NPR3
gene_686	EPSTI1	EPSTI1	Epsti1	EPSTI1	EPSTI1
gene_687	BMP4	BMP4	Bmp4	BMP4	BMP4
gene_688	PAX5	PAX5	Pax5	PAX5	PAX5
gene_689	GABRG3	GABRG3	Gabrg3	GABRG3	GABRG3
gene_690	NKAIN4	NKAIN4	Nkain4	NKAIN4	NKAIN4
gene_691	RBM11	RBM11	Rbm11	RBM11	RBM11
gene_692	HSPA13	HSPA13	Hspa13	HSPA13	HSPA13
gene_693	SRSF5	SRSF5	Srsf5	SRSF5	SRSF5
gene_694	TCEAL7	TCEAL7	Tceal7	TCEAL7	TCEAL7
gene_695	TNFRSF19	TNFRSF19	Tnfrsf19	TNFRSF19	TNFRSF19
gene_696	ARFGAP1	ARFGAP1	Arfgap1	ARFGAP1	ARFGAP1
gene_697	SPECC1L	SPECC1L	Specc1l	SPECC1L	SPECC1L
gene_698	RBP3	RBP3	Rbp3	RBP3	RBP3
gene_699	HSPB3	HSPB3	Hspb3	HSPB3	HSPB3
gene_700	ARHGAP12	ARHGAP12	Arhgap12	ARHGAP12	ARHGAP12
gene_701	FST	FST	Fst	FST	FST
gene_702	DCTN6	DCTN6	Dctn6	DCTN6	DCTN6
gene_703	PRTG	PRTG	Prtg	PRTG	PRTG
gene_704	SPIN4	SPIN4	Spin4	SPIN4	SPIN4
gene_705	ANKFY1	ANKFY1	Ankfy1	ANKFY1	ANKFY1
gene_706	CARS2	CARS2	Cars2	CARS2	CARS2
gene_707	BRWD1	BRWD1	Brwd1	BRWD1	BRWD1
gene_708	MRPS30	MRPS30	Mrps30	MRPS30	MRPS30
gene_709	RAD51	RAD51	Rad51	RAD51	RAD51
gene_710	AKAIN1	AKAIN1	Akain1	AKAIN1	AKAIN1
gene_711	PPP2R2A	PPP2R2A	Ppp2r2a	PPP2R2A	PPP2R2A
gene_712	THOC2	THOC2	Thoc2	THOC2	THOC2
gene_713	GHR	GHR	Ghr	GHR	GHR
gene_714	FUT8	FUT8	Fut8	FUT8	FUT8
gene_715	TOLLIP	TOLLIP	Tollip	TOLLIP	TOLLIP
gene_716	UPB1	UPB1	Upb1	UPB1	UPB1
gene_717	KIF13A	KIF13A	Kif13a	KIF13A	KIF13A
gene_718	SS18	SS18	Ss18	SS18	SS18
gene_719	ING1	ING1	Ing1	ING1	ING1
gene_720	MTRF1	MTRF1	Mtrf1	MTRF1	MTRF1
gene_721	ACTC1	ACTC1	Actc1	ACTC1	ACTC1
gene_722	LRRC75B	LRRC75B	Lrrc75b	LRRC75B	LRRC75B
gene_723	CDH9	CDH9	Cdh9	CDH9	CDH9
gene_724	CRK	CRK	Crk	CRK	CRK
gene_725	TEKT1	TEKT1	Tekt1	TEKT1	TEKT1
gene_726	UBE2D1	UBE2D1	Ube2d1	UBE2D1	UBE2D1
gene_727	ERO1A	ERO1A	Ero1a	ERO1A	ERO1A
gene_728	ADAMTS12	ADAMTS12	Adamts12	ADAMTS12	ADAMTS12
gene_729	PIMREG	PIMREG	Pimreg	PIMREG	PIMREG
gene_730	RGCC	RGCC	Rgcc	RGCC	RGCC
gene_731	GDF10	GDF10	Gdf10	GDF10	GDF10
gene_732	VWA8	VWA8	Vwa8	VWA8	VWA8
gene_733	ITM2A	ITM2A	Itm2a	ITM2A	ITM2A
gene_734	SPIDR	SPIDR	Spidr	SPIDR	SPIDR
gene_735	MKKS	MKKS	Mkks	MKKS	MKKS
gene_736	CAMKK1	CAMKK1	Camkk1	CAMKK1	CAMKK1
gene_737	NRP1	NRP1	Nrp1	NRP1	NRP1
gene_738	MCIDAS	MCIDAS	Mcidas	MCIDAS	MCIDAS
gene_739	PELI2	PELI2	Peli2	PELI2	PELI2
gene_740	EEF1A2	EEF1A2	Eef1a2	EEF1A2	EEF1A2
gene_741	NAA30	NAA30	Naa30	NAA30	NAA30
gene_742	CLEC14A	CLEC14A	Clec14a	CLEC14A	CLEC14A
gene_743	SLITRK4	SLITRK4	Slitrk4	SLITRK4	SLITRK4
gene_744	NAP1L2	NAP1L2	Nap1l2	NAP1L2	NAP1L2
gene_745	PTK6	PTK6	Ptk6	PTK6	PTK6
gene_746	RGS6	RGS6	Rgs6	RGS6	RGS6
gene_747	HTATSF1	HTATSF1	Htatsf1	HTATSF1	HTATSF1
gene_748	RAP2A	RAP2A	Rap2a	RAP2A	RAP2A
gene_749	PDRG1	PDRG1	Pdrg1	PDRG1	PDRG1
gene_750	C15H9orf85	C9orf85	1110059E24Rik	C9orf85	C9orf85
gene_751	NAXD	NAXD	Naxd	NAXD	NAXD
gene_752	XKR7	XKR7	Xkr7	XKR7	XKR7
gene_753	SERPINA7	SERPINA7	Serpina7	SERPINA7	SERPINA7
gene_754	CCM2L	CCM2L	Ccm2l	CCM2L	CCM2L
gene_755	CDH18	CDH18	Cdh18	CDH18	CDH18
gene_756	SLC28A3	SLC28A3	Slc28a3	SLC28A3	SLC28A3
gene_757	ANKRD12	ANKRD12	Ankrd12	ANKRD12	ANKRD12
gene_758	P2RX1	P2RX1	P2rx1	P2RX1	P2RX1
gene_759	GOLM2	GOLM2	Golm2	GOLM2	GOLM2
gene_760	PLAGL2	PLAGL2	Plagl2	PLAGL2	PLAGL2
gene_761	GJB2	GJB2	Gjb2	GJB2	GJB2
gene_762	MAPK1	MAPK1	Mapk1	MAPK1	MAPK1
gene_763	POFUT1	POFUT1	Pofut1	POFUT1	POFUT1
gene_764	GJB6	GJB6	Gjb6	GJB6	GJB6
gene_765	PGM5	PGM5	Pgm5	PGM5	PGM5
gene_766	KCNQ1	KCNQ1	Kcnq1	KCNQ1	KCNQ1
gene_767	C18H18orf25	C18orf25	8030462N17Rik	C18orf25	C18orf25
gene_768	MAPRE1	MAPRE1	Mapre1	MAPRE1	MAPRE1
gene_769	WDR44	WDR44	Wdr44	WDR44	WDR44
gene_770	SMARCB1	SMARCB1	Smarcb1	SMARCB1	SMARCB1
gene_771	ZMYM2	ZMYM2	Zmym2	ZMYM2	ZMYM2
gene_772	PROCR	PROCR	Procr	PROCR	PROCR
gene_773	SKA1	SKA1	Ska1	SKA1	SKA1
gene_774	RAI14	RAI14	Rai14	RAI14	RAI14
gene_775	IDNK	IDNK	Idnk	IDNK	IDNK
gene_776	SHC4	SHC4	Shc4	SHC4	SHC4
gene_777	MMP24	MMP24	Mmp24	MMP24	MMP24
gene_778	GNRH1	GNRH1	Gnrh1	GNRH1	GNRH1
gene_779	FAM83C	FAM83C	Fam83c	FAM83C	FAM83C
gene_780	TRIM21	TRIM21	Trim21	TRIM21	TRIM21
gene_781	RPRD1A	RPRD1A	Rprd1a	RPRD1A	RPRD1A
gene_782	PWWP3B	PWWP3B	Pwwp3b	PWWP3B	PWWP3B
gene_783	DSCAM	DSCAM	Dscam	DSCAM	DSCAM
gene_784	NMRK1	NMRK1	Nmrk1	NMRK1	NMRK1
gene_785	PLXDC2	PLXDC2	Plxdc2	PLXDC2	PLXDC2
gene_786	BRS3	BRS3	Brs3	BRS3	BRS3
gene_787	MTMR3	MTMR3	Mtmr3	MTMR3	MTMR3
gene_788	SNAP23	SNAP23	Snap23	SNAP23	SNAP23
gene_789	SYCP2L	SYCP2L	Sycp2l	SYCP2L	SYCP2L
gene_790	POLR1E	POLR1E	Polr1e	POLR1E	POLR1E
gene_791	RSU1	RSU1	Rsu1	RSU1	RSU1
gene_792	SYT4	SYT4	Syt4	SYT4	SYT4
gene_793	EEF1AKMT1	EEF1AKMT1	Eef1akmt1	EEF1AKMT1	EEF1AKMT1
gene_794	GALNT18	GALNT18	Galnt18	GALNT18	GALNT18
gene_795	ZNF287	ZNF287	Zfp287	ZNF287	ZNF287
gene_796	TPMT	TPMT	Tpmt	TPMT	TPMT
gene_797	HRH4	HRH4	Hrh4	HRH4	HRH4
gene_798	CENPJ	CENPJ	Cenpj	CENPJ	CENPJ
gene_799	GOLM1	GOLM1	Golm1	GOLM1	GOLM1
gene_800	AMER1	AMER1	Amer1	AMER1	AMER1
gene_801	ZIC3	ZIC3	Zic3	ZIC3	ZIC3
gene_802	RBBP8	RBBP8	Rbbp8	RBBP8	RBBP8
gene_803	IL1RAPL2	IL1RAPL2	Il1rapl2	IL1RAPL2	IL1RAPL2
gene_804	ATP2A3	ATP2A3	Atp2a3	ATP2A3	ATP2A3
gene_805	CAGE1	CAGE1	Cage1	CAGE1	CAGE1
gene_806	JCAD	JCAD	Jcad	JCAD	JCAD
gene_807	ZDHHC13	ZDHHC13	Zdhhc13	ZDHHC13	ZDHHC13
